UID          PID    PPID  C STIME TTY          TIME CMD
skaur        986     929  0 13:21 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
skaur        990     929  0 13:21 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
skaur        994     929  0 13:21 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
skaur        998     929  0 13:21 ?        00:00:00 /usr/libexec/goa-daemon
skaur       1008     929  0 13:21 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
skaur       1009     929  0 13:21 ?        00:00:00 /usr/libexec/goa-identity-service
root        1017       1  0 13:21 ?        00:00:00 /usr/lib/upower/upowerd
skaur       1040     944  0 13:21 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
skaur       1134       1  0 13:21 ?        00:00:00 /usr/bin/VBoxClient --clipboard
skaur       1135    1134  0 13:21 ?        00:00:00 /usr/bin/VBoxClient --clipboard
skaur       1146       1  0 13:21 ?        00:00:00 /usr/bin/VBoxClient --seamless
skaur       1147    1146  0 13:21 ?        00:00:00 /usr/bin/VBoxClient --seamless
skaur       1153       1  0 13:21 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
skaur       1154    1153  0 13:21 ?        00:00:04 /usr/bin/VBoxClient --draganddrop
skaur       1161       1  0 13:21 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
skaur       1162    1161  0 13:21 ?        00:00:00 /usr/bin/VBoxClient --vmsvga
skaur       1168    1040  0 13:21 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
skaur       1187     929  0 13:21 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
skaur       1193    1187  0 13:21 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
skaur       1197     929  0 13:21 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
skaur       1204     929  0 13:21 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
skaur       1218     929  1 13:21 ?        00:00:35 /usr/bin/gnome-shell
skaur       1237    1218  0 13:21 ?        00:00:00 ibus-daemon --panel disable --xim
skaur       1241    1237  0 13:21 ?        00:00:00 /usr/libexec/ibus-memconf
skaur       1242    1237  0 13:21 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
skaur       1246     929  0 13:21 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
skaur       1249     929  0 13:21 ?        00:00:00 /usr/libexec/ibus-portal
skaur       1258     929  0 13:21 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
skaur       1262     929  0 13:21 ?        00:00:00 /usr/libexec/xdg-permission-store
skaur       1267     929  0 13:21 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
skaur       1273     929  0 13:21 ?        00:00:00 /usr/libexec/evolution-source-registry
skaur       1283     929  0 13:21 ?        00:00:00 /usr/libexec/evolution-calendar-factory
skaur       1291     929  0 13:21 ?        00:00:00 /usr/libexec/dconf-service
skaur       1296     929  0 13:21 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
skaur       1324     952  0 13:21 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
skaur       1326     929  0 13:21 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
skaur       1343     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-a11y-settings
skaur       1344     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-color
skaur       1345     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-datetime
skaur       1348     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-housekeeping
skaur       1349     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-keyboard
skaur       1350     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-media-keys
skaur       1357     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-power
skaur       1359     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-print-notifications
skaur       1362     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-rfkill
skaur       1363     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
skaur       1367     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-sharing
skaur       1371     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-smartcard
skaur       1375     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-sound
skaur       1379     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-usb-protection
skaur       1381     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-wacom
skaur       1389     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-wwan
skaur       1390     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-xsettings
skaur       1427    1204  0 13:21 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
skaur       1433    1204  0 13:21 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
skaur       1441     929  0 13:21 ?        00:00:00 /usr/libexec/gsd-printer
colord      1456       1  0 13:21 ?        00:00:00 /usr/libexec/colord
skaur       1521    1237  0 13:21 ?        00:00:00 /usr/libexec/ibus-engine-simple
skaur       1572     929  0 13:21 ?        00:00:10 /usr/libexec/gnome-terminal-server
skaur       1574     929  0 13:21 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
skaur       1576     929  0 13:21 ?        00:00:00 /usr/bin/seahorse --gapplication-service
skaur       1675    1572  0 13:21 pts/0    00:00:00 bash
skaur       1701     929  0 13:22 ?        00:00:00 /usr/libexec/gvfsd-metadata
skaur       1706    1204  0 13:22 ?        00:00:00 update-notifier
skaur       3600     940  0 13:29 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
root        3614       2  0 13:32 ?        00:00:00 [kworker/u2:1-ext4-rsv-conversion]
skaur       3631     929  0 13:34 ?        00:00:00 ssh-agent -s
skaur       3636     929  0 13:36 ?        00:00:02 /usr/bin/nautilus --gapplication-service
root        3653       2  0 13:37 ?        00:00:00 [kworker/0:1-events]
skaur       4300     929 14 13:40 ?        00:02:09 /usr/lib/firefox/firefox -new-window
skaur       4337    4300  0 13:40 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -parentBuildID 20220818191623 -prefsLen 18002 -prefMapSize 223216 -appDir /usr/lib/firefox/browser 4300 true socket
skaur       4350     929  0 13:40 ?        00:00:00 /usr/libexec/xdg-desktop-portal
skaur       4354     929  0 13:40 ?        00:00:00 /usr/libexec/xdg-document-portal
skaur       4363     929  0 13:40 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
